酒店名称,星级,地址,评分,酒店描述
丽呈睿轩南京南站酒店,3,中国，江苏，南京，江宁区，董村路39号天琪科技大厦,4.6,酒店拥有百余间舒适温馨的客房，商务会议室，早餐厅，现代休闲的书吧，大型停车场，集住宿、商务会议于一体的。个性化的服务理念及专业的管理团队，可为您提供优质，高效的服务。是您旅游住宿，商务洽谈，朋友聚会的优选。
如家睿柏·云酒店,3,中国，江苏，南京，秦淮区，大石坝街71号,4.6,如家睿柏·云酒店(南京夫子庙景区步行街店)设有多种房型，能够满足您的各种需求。房间宽敞明亮，温馨典雅，每个细节的精心设计，温暖的灯光照耀，时尚的浴室设计，凸显出浪漫的环境氛围
汇丽酒店,2,中国，江苏，南京，秦淮区，解放路42号,4.2,酒店配套齐全，可满足宾客不同的需求。酒店楼高6层，有电梯、独立的大院，停车方便，环境优美、住宿安静，全体员工竭诚欢迎您的入住！酒店楼高6层，有电梯、独立的大院，环境优美、住宿安静，全体员工竭诚欢迎您的入住！
如家酒店·neo,2,中国，江苏，南京，秦淮区，淮海路36号,4.3,酒店秉承如家快捷的三大“统一”性，即统一建筑设施、统一服务、统一硬件设施。酒店内外由名家设计，客房风格简约、别致，设施齐全，为宾客展现的是一个干净、温馨的住宿环境。
莫泰168,2,中国，江苏，南京，秦淮区，平江府路154号,4.7,酒店提供24小时热水、WIFI全覆盖，酒店有免费停车场，是您自驾出游、洗衣房，是您商务出行的理想选择。
南京安其居精品酒店公寓,2,中国，江苏，南京，建邺区，庐山路288号升龙汇金中心2栋106室,4.5,房间都通过精心设计，有多种风格，给您带来舒适优品质感的住宿体验，影音房配有高档投影设备，让您完全置身于影院之中。卫生间配备了纯棉浴巾毛巾，全套洗护用品，、吹风机等。希望您来公寓，我们恭候您的入住！
清沐精选酒店,2,中国，江苏，南京，秦淮区，延龄巷2号,4.4,酒店一楼大厅设有前台和会客区，二楼设有容纳80-100人开会的多功能会议室，三楼有标准房、单人房、豪华套房若干间；交通十分便捷，是旅游、商住、购物的理想之地。
锦江都城酒店,4,中国，江苏，南京，秦淮区，太平南路538、542号,4.7,酒店拥有九十余间舒心典雅的客房，让您足不出户尽可感受南京城市的人文风情，客房配置43寸液晶ITV网络电视、全覆盖高速无线网络供住客免费使用。
花筑·南京市夫子庙秦淮酒店,3,中国，江苏，南京，秦淮区，解放南路八宝东街1号,4.6,酒店客房配套齐全，智能化自动窗帘，优质名牌床品，鸭绒枕芯，记忆睡姿，使您恋上这张床！全网WiFi覆盖，超快网速体验，24小时服务，让您体验不一般的酒店感受。
清沐·尚酒店,4,中国，江苏，南京，秦淮区，洪武路129号,4.7,让您的商务生活起来为商旅顾客带来舒适、超值的入住体验，在静谧优雅环境中得到心灵的释放及家一样的温馨感受。让您工作的驿站变得如此美好与惬意！
南京新晶丽酒店,5,中国，江苏，南京，雨花台区，紫荆花路2号,4.8,新晶丽酒店是跨越80多个国家全球奢华酒店品牌Small Luxury Hotels of the World（简称SLH）联盟酒店。特立独行的新晶丽酒店承袭了新古典主义韵味的设计风格，酒店拥有众多幅文艺复兴后期的欧洲古典名画真迹。
清和影院公寓,2,中国，江苏，南京，鼓楼区，玉宁路16号龙湖紫都广场1栋1楼01门面,4.6,欢迎光临酒店，本店将为您提供优质的入住环境。可观赏南京城市风貌、玄武湖景观，紫金山风光。本酒店楼下拥有玉桥购物商圈，美食街、麦当劳、肯德基、海底捞，交通便利，距离南京火车站约一公里
花筑·南京夫子庙琵琶行酒店,3,中国，江苏，南京，秦淮区，大石坝街63号,4.6,酒店在设计风格上，将传统元素用现代而又抽象的手法表现。外立面格栅好似琴弦，琴弦背后那远山，与琴弦遥相呼应，山水乐章，其乐融融。
速8酒店,2,中国，江苏，南京，秦淮区，中华路491-3号2楼,4.7,繁华地段，交通便利，地理位置优越，是观光游览、旅游度假的理想居所。
清沐酒店,2,中国，江苏，南京，建邺区，水西门大街262号,4.4,酒店提供丰富营养的自助早餐，提供停车位，是商务人士和旅游观光客人理想的下榻住所。让您的旅途更加温馨!
夫子庙柒·金陵精品酒店,4,中国，江苏，南京，秦淮区，老门东长乐渡大荷花巷18号,4.8,酒店新中式装修风格与现代装修风格，配备专业的咖啡茶饮吧台，为到店的顾客提供品种更多的饮品，有接待大厅与休息大厅，房间的配有迷你吧，精致舒适的床品，小米科技的配备，为每一位出来旅游的客人提供高品质服务
薇花谷酒店,2,中国，江苏，南京，玄武区，天山路39号西家大塘文化创意产业园60栋,4.6,24小时安保服务保障人身安全，可以让住客尽享个人空间，服务周到便捷，客人可随意安排自己的行程。
瑞华酒店,2,中国，江苏，南京，秦淮区，俞家巷21号,4.8,地处繁华却又闹中取静，非常适合商旅人士及年轻时尚的群体入住。房型多种多样，每一种房型都具有不同复古气息存在，可以让您寻找到曾经被遗失的记忆。
怡莱酒店,2,中国，江苏，南京，玄武区，中山门大街99号-7幢109-114室,4.4,怡莱酒店(南京中山陵风景区店)将以真诚、热情、高水准的优质服务，为八方宾客提供尽善尽美的享受，都市尘嚣中少有的典雅与温馨，营造出理想的下榻之所。
南京金茂威斯汀大酒店,5,中国，江苏，南京，鼓楼区，中央路201号23楼,4.8,每间客房均让您一览浪漫的都市景观与玄武湖美丽湖景，将湖光山色，隽秀古都尽收眼底，房间都设有全球知名的威斯汀天梦之床（Heavenly Bed）、无线网络及Blueair空气净化器（仅尊享景观房配备）。
9天精品酒店,2,中国，江苏，南京，秦淮区，建康路188号,4.5,该酒店对于宾客来说既可以提供个性化的服务，又有宾至如归的感觉，为下榻的客人提供时尚、舒适、便捷的超值享受。
索泊阁·影院酒店,2,中国，江苏，南京，雨花台区，明城大道10号证大喜玛拉雅中心F座1楼10-2号,4.7,酒店位于证大喜玛拉雅中心F座，紧靠南京南站，出行便利，保安24小时不定时巡逻安全可靠，装修高端，欢迎入住。
特迷风情假日酒店,2,中国，江苏，南京，江宁区，天元东路795号,4.4,酒店会热情地招待您的每一位亲朋好友，尽量满足您的特殊要求，可为您量身定做属于新人的婚房布置，让您的婚礼浪漫而难忘。
花筑·南京夫子庙老门东知否民宿,4,中国，江苏，南京，秦淮区，夫子庙街道马道街雅居乐长乐渡15-5号,4.9,民宿的目标是给您一个有温度没距离的家！做民宿我们也是一直致力做到：拥有植根于内心的修养，无需提醒的自觉，以约束为前提的自由，为别人着想的善良。花筑·南京夫子庙老门东知否民宿欢迎您！
江苏凤凰台饭店,4,中国，江苏，南京，鼓楼区，湖南路47号,4.7,江苏凤凰台饭店还设有中西餐厅、会议中心，以及书吧、茶吧、KTV等配套服务设施，功能齐全，是您商务、休闲、旅游下榻的好去处。
南京山水大酒店,4,中国，江苏，南京，玄武区，龙蟠中路118号,4.8,酒店开业二十余年来始终坚持品牌战略，充分发挥地矿行业的优势，突出赏石特色，致力营造主题文化，受到了宾客和专家学者的一致好评。酒店拥有各类豪华客房、中西式餐厅、会议设备设施齐全，为您提供全方位”一站式”的便捷服务。
南京泰森酒店,3,中国，江苏，南京，雨花台区，明城大道万科九都荟F05栋1楼,4.1,"这是一所休闲商务、时尚温馨型公寓酒店，秉持以“家”为文化元素，用贴心的管家式服务于宾客。酒店拥有百余间多种宽敞舒适、风格各异的客房，配有无线WIFI网络，让宾客尽享便捷的休闲之旅,感受家的温馨。"
书香世家酒店,4,中国，江苏，南京，秦淮区，新街口三元巷7号（市公安局斜对面）,4.8,这是一家集客房、餐饮、宴会为一体的综合型酒店，拥有精美客房，装修典雅，配套设施齐全；酒店服务设施齐备，设有商务中心，茶吧，书吧等服务项目，是宾客享受商旅休闲，品尝中西美食，庆祝婚宴良辰和举办会议的理想场所。
南京金太隆国际酒店,4,中国，江苏，南京，秦淮区，新街口中山东路160号,4.7,酒店设有中西餐厅，提供“新派淮扬菜”及粤菜、川菜等，可满足不同的饮食需求。酒店还拥有功能齐全的大小会议场所，另设有棋牌室、桌球室、乒乓球室、按摩室、足浴、KTV等休闲、娱乐设施，可以让您缓解疲劳，放松身心。
陸屿&筑舍,2,中国，江苏，南京，建邺区，庐山路288号升龙汇金中心1栋104商铺,4.5,陸屿&筑舍(南京奥体升龙汇金店)坐落于河西奥体CBD，繁华的经济与金融中心，周边大厦环茂，大楼林立。酒店于2019年初全新装修升级，所有设施物品齐全，只为给您一个愉快的居住体验。
南京盛世咸集酒店,3,中国，江苏，南京，玄武区，北京东路42-1号,4.8,酒店房间装饰以温馨时尚、现代中式风格，环境典雅，设施智能，一应俱全，集商务、度假、休闲为一体。到南京优选盛世咸集酒店，定能让您舒心、舒适，快捷、快乐！
花筑·江南酒店,3,中国，江苏，南京，鼓楼区，中山北路215号8-9层,4.5,花筑·南京江南酒店，毗邻鼓楼区政府、玄武湖公园、鸡鸣寺、狮子桥步行街和总统府，还有特色小吃。周边汇集吾悦广场、苏宁环球购物中心、凤凰广场等标志性区域。超市、娱乐休闲一应俱全，为您的生活出行提供便利。
古南都亦闲公馆,3,中国，江苏，南京，鼓楼区，上海路160号,4.7,公馆享“上海路最文艺的公馆”之誉，其建筑设计精巧，房内设施齐全，楼顶咖啡厅、旋转书吧尽显优雅格调。
世纪缘精品酒店,3,中国，江苏，南京，秦淮区，莫愁路81号,4.6,酒店客房一百余间，设有6种房型，按照世纪缘集团精心设计打造，配有优质的床品、优质的服务，100M光纤WIFI无线覆盖、自助洗衣（出尘）高端卫浴品牌，遍布酒店内的书籍给您提供一个自在、防松的居停空间，使您能在这得到休憩，充电获得心灵上防松及人生感悟的共鸣。
云酒店,3,中国，江苏，南京，玄武区，花园路8号,4.3,酒店客房整洁，宽敞明亮，环境卫生，配套设施齐全，服务周到，方便入住。
和璞设计师公寓,3,中国，江苏，南京，玄武区，徐庄软件园行辅路7号苏宁紫金嘉悦1幢103室,4.7,和璞设计师公寓是坚持给客人带来一种家的温馨的连锁酒店，冰箱/洗衣机/空调/热水器等设施齐全，均采用一线进口品牌，有设计师精心设计，多种风格，给您带来舒适有品质感的住宿体验，让您住的放心，舒心，开心！
南京黄埔大酒店,4,中国，江苏，南京，玄武区，黄埔路2-2号,4.6,酒店拥有各类精品客房，房内配有液晶电视、液晶电脑、26层设有零压体验房（配有记忆床垫及记忆枕），满足宾客不同需求。
囍筑·美宿影院公寓,2,中国，江苏，南京，雨花台区，石华街5号A1栋小公馆一楼112号,4.8,公寓设施舒适干净，客房内配有冰箱，部分房间配有洗衣机，装修新颖别致，给每一位旅客提供一个温馨舒适的居住坏境，期待您的到来。
证大全悦酒店,3,中国，江苏，南京，雨花台区，民智路13号证大喜玛拉雅A-B栋一楼大厅,4.2,酒店所有客房，观景视角优越，环境优美，亲子家庭，商务出行，情侣约会，给您留下一次难以忘怀的灵动旅途体验。
海明威精品酒店公寓,2,中国，江苏，南京，雨花台区，软件大道109号雨花客厅5栋1楼,4.5,酒店作为高档公寓式酒店拥有多种房型的客房，满足各类住宿要求，酒店提供智能、时尚、现代化、安全私密的住宿服务，客房内设施设备齐全，海明威精品酒店公寓期待您的光临！我们将让您的商务、休闲之旅更加舒心愉悦！
宽渡酒店,3,中国，江苏，南京，秦淮区，小荷花巷17号,4.7,宽渡是具有城南味的亲和精品民宿，由著名设计师、诗人陈卫新先生主持设计，以水月为题，四季为名。酒店关注客人的体验感，重叠小院，城南旧事，古城墙、报恩塔近在眼前。酒店客房各具特色，客房分左岸、右岸两区，此岸彼岸，一院相连。
布丁严选酒店,2,中国，江苏，南京，秦淮区，太平南路585号,4.3,酒店装修时尚大方且安静舒适，拥有多种房型，独立WIFI全覆盖，每个房间都配备了吹风机。布丁酒店是您旅行、出差、休闲的不二选择！
海棠酒店,2,中国，江苏，南京，江宁区，禄口街道石埝社区石埝村7号,4.7,位于禄口机场附近，房间很大，价格划算，配套设施齐全，全新装修，家的体验，24小时热水，免费 WiFi，欢迎大家入住体验。
南京荟枫酒店,4,中国，江苏，南京，江宁区，天元东路288号景枫大厦2号楼,4.6,酒店拥有各类客房共200多间，耗资1.2亿的装修风格，房内均有高速WIFI覆盖，设计新颖，功能齐全。客房内配大屏幕液晶电视、先进的卫浴设备与高档鹅绒卧具等。
窝石榴状元酒店,3,中国，江苏，南京，秦淮区，金陵路18号,4.6,酒店是以古代科举文化为主题的人文酒店。高品质的客房产品设施、细致温馨的服务注入浓厚的江南文化氛围，独具“舒适、简约、朴实、静谧”的气质，为中高端商旅人士打造理想的住宿体验，是您旅途中的家。
喜玛云宿酒店公寓,2,中国，江苏，南京，雨花台区，民智路11号证大喜玛拉雅中心A座4楼404,4.7,客房内配有冰箱、电磁炉，纯木风的装修风格，给您宽松的休息体验。每栋楼下都有三层地下停车场，您随时都可以找到车位。
南京香格里拉大酒店,5,中国，江苏，南京，鼓楼区，中央路329号,4.8,酒店其设计灵感源自南京古城的渊远文化与历史，客房时尚舒适；每间客房都配有300线柱的香格里拉特色床品、无线上网、液晶电视、网络电视系统等。
南京润葳酒店,3,中国，江苏，南京，江宁区，菲尼克斯路70号,4.6,酒店拥有客房百余间，每间房面积都在36平方米以上，每间房都有窗，宽敞明亮。尊享经典品质生活—南京润葳酒店商务、会议的优选。衷心期待您的光临、垂询。
尚好商旅酒店公寓,3,中国，江苏，南京，建邺区，楠溪江东街55号龙湖时代上城3栋大厅背后1楼,4.9,尚好商旅酒店公寓(南京奥体新城科技园店)是尚好集团又一中高端品牌旗舰店，楼内24小时无缝隙监控系统。每间客房配套独立百兆无线宽带，所有的房间均为精心专业个性化装修，无论您是商务、旅游，尚好酒店连锁都是您的理想选择。
逸美酒店,3,中国，江苏，南京，栖霞区，西岗街道广志路24号万达茂E座1楼,4.9,开业于2020-11-01，相信无论您是一日游还是深度游，逸美酒店都是您南京之行的不二选择。
